Campaign,Campaign Type,Campaign Daily Budget,Campaign Status,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
SSS Business,Search,20.00,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,team communication training,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,team communication training,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,workplace communication training,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,workplace communication training,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,communication training for managers,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,communication training for managers,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,communication skills training for teams,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,communication skills training for teams,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Team communication training,,,,,Enabled,Responsive search ad,https://solutionseeking.com/for-business,for-business,teams,Bring SSS to Your Team,One Workspace for Teams,AI Assistants for Teams,Trained on Your Documents,"Your Domain, Your Brand",White-Label AI Assistant,No Engineering Required,Team Communication Tools,Assistants That Know You,Set Up in Minutes,Share It Across the Org,For Co-ops and Small Teams,Talk to Us About Seats,Built by a Real Co-op,"Consistent, On-Brand Answers","Give your whole team a shared dashboard, AI assistants, and documents in one place.",Build assistants grounded in your own playbooks and share them across the company.,"Put a branded assistant on your own domain. Self-serve setup, automatic HTTPS.","Tell us about your team, from seats to a white-label page on your own domain."
SSS Business,,,,Workplace conflict resolution,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,workplace conflict resolution training,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,workplace conflict resolution training,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,conflict resolution training for teams,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,conflict resolution training for teams,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,manager training for difficult conversations,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,manager training for difficult conversations,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,how to handle conflict on my team,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,how to handle conflict on my team,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,Workplace conflict resolution,,,,,Enabled,Responsive search ad,https://solutionseeking.com/for-business,for-business,teams,Bring SSS to Your Team,One Workspace for Teams,AI Assistants for Teams,Trained on Your Documents,"Your Domain, Your Brand",White-Label AI Assistant,No Engineering Required,Team Communication Tools,Assistants That Know You,Set Up in Minutes,Share It Across the Org,For Co-ops and Small Teams,Talk to Us About Seats,Built by a Real Co-op,"Consistent, On-Brand Answers","Give your whole team a shared dashboard, AI assistants, and documents in one place.",Build assistants grounded in your own playbooks and share them across the company.,"Put a branded assistant on your own domain. Self-serve setup, automatic HTTPS.","Tell us about your team, from seats to a white-label page on your own domain."
SSS Business,,,,AI assistant for teams,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,ai assistant for teams,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,ai assistant for teams,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,custom ai agent for business,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,custom ai agent for business,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,ai assistant trained on our documents,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,ai assistant trained on our documents,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,internal ai assistant for company,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,internal ai assistant for company,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,AI assistant for teams,,,,,Enabled,Responsive search ad,https://solutionseeking.com/for-business,for-business,teams,Bring SSS to Your Team,One Workspace for Teams,AI Assistants for Teams,Trained on Your Documents,"Your Domain, Your Brand",White-Label AI Assistant,No Engineering Required,Team Communication Tools,Assistants That Know You,Set Up in Minutes,Share It Across the Org,For Co-ops and Small Teams,Talk to Us About Seats,Built by a Real Co-op,"Consistent, On-Brand Answers","Give your whole team a shared dashboard, AI assistants, and documents in one place.",Build assistants grounded in your own playbooks and share them across the company.,"Put a branded assistant on your own domain. Self-serve setup, automatic HTTPS.","Tell us about your team, from seats to a white-label page on your own domain."
SSS Business,,,,White-label AI,Enabled,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,white label ai assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,white label ai assistant,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,white label ai chatbot,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,white label ai chatbot,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,branded ai assistant on our domain,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,branded ai assistant on our domain,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Business,,,,White-label AI,,,,,Enabled,Responsive search ad,https://solutionseeking.com/for-business,for-business,white-label,Bring SSS to Your Team,One Workspace for Teams,AI Assistants for Teams,Trained on Your Documents,"Your Domain, Your Brand",White-Label AI Assistant,No Engineering Required,Team Communication Tools,Assistants That Know You,Set Up in Minutes,Share It Across the Org,For Co-ops and Small Teams,Talk to Us About Seats,Built by a Real Co-op,"Consistent, On-Brand Answers","Give your whole team a shared dashboard, AI assistants, and documents in one place.",Build assistants grounded in your own playbooks and share them across the company.,"Put a branded assistant on your own domain. Self-serve setup, automatic HTTPS.","Tell us about your team, from seats to a white-label page on your own domain."
