Campaign,Campaign Type,Campaign Daily Budget,Campaign Status,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
SSS Consumer,Search,15.00,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,difficult conversation with employee,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,difficult conversation with employee,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to give difficult feedback,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to give difficult feedback,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to talk to an employee about performance,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to talk to an employee about performance,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to tell an employee they need to improve,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to tell an employee they need to improve,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,prepare for a difficult conversation at work,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,prepare for a difficult conversation at work,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,performance conversation with employee,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,performance conversation with employee,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to give feedback to an employee,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,how to give feedback to an employee,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,first time manager hard conversation,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Manager,,,first time manager hard conversation,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
